,literacy_home,risk_factors,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y,aspired_occ_b_-1,aspired_occ_b_1,aspired_occ_b_2,aspired_occ_b_3,aspired_occ_b_4,aspired_occ_b_5,aspired_occ_b_6,aspired_occ_b_7,aspired_occ_b_8,aspired_occ_b_9,aspired_occ_b_10,aspired_occ_b_11,aspired_occ_b_12,aspired_occ_b_13,aspired_occ_b_14,aspired_occ_b_15,aspired_occ_b_16,aspired_occ_b_17,aspired_occ_1_-1,aspired_occ_1_1,aspired_occ_1_2,aspired_occ_1_3,aspired_occ_1_4,aspired_occ_1_5,aspired_occ_1_6,aspired_occ_1_7,aspired_occ_1_8,aspired_occ_1_9,aspired_occ_1_10,aspired_occ_1_11,aspired_occ_1_12,aspired_occ_1_13,aspired_occ_1_14,aspired_occ_1_15,aspired_occ_1_16,aspired_occ_1_17
163,2,2,38.33,31.68,0.16099999999999995,-0.0485000000000001,-1.847,3,2,14,4,1,9,37.41,3,2,2,4,-0.2763999999999999,24,4,2.0,336.0,107.41999999999999,183.507,112.22999999999999,1344,15465.166999999998,6.4,2792919.9999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,2,0,56.35,52.39,0.17049999999999996,-0.20290000000000002,-0.09200000000000001,1,4,14,1,1,7,52.33,6,3,3,1,0.483,29,6,1.0,406.0,161.07,157.17000000000002,313.98,2436,20259.45,0.0,1288560.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,3,1,55.88,68.04,0.305,0.34700000000000003,-1.3840000000000001,0,2,8,8,3,6,53.85,6,1,6,6,0.265,25,2,1.0,200.0,177.77,272.16,323.1,400,19643.579999999998,14.0,888850.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2,2,44.92,34.77,-0.42,-0.9329999999999999,0.059099999999999965,2,1,8,8,0,6,45.43,2,0,4,2,-0.4093,14,3,2.0,112.0,125.12,104.31,90.86,336,4293.740000000001,20.0,2127040.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,3,0,56.93,57.07,1.0769999999999997,-0.2988,-0.7090000000000001,1,0,27,4,1,6,56.41,6,1,0,0,-0.51,23,4,1.0,621.0,170.41,228.28,338.46,2484,28337.0,9.4,12269520.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168,3,0,49.9,47.46,-0.10089999999999999,-0.026400000000000024,-0.898,1,1,9,1,1,4,49.58,2,1,6,1,-1.033,27,4,2.0,249.5,146.94,199.969,99.16,1168,19023.865,0.0,5730660.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,0,59.03,52.76,-0.63,-0.9329999999999999,0.5194,2,0,28,1,1,6,54.86,6,2,0,1,-0.259,34,6,1.0,952.0,166.64999999999998,158.28,329.15999999999997,5712,30221.279999999995,0.0,5166149.999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,1,30.89,28.6,-0.381,-0.68,0.052000000000000005,4,1,15,5,3,6,39.01,5,3,4,0,-0.24600000000000002,28,5,1.0,410.6,98.5,57.2,195.04999999999998,2138,18374.034,6.4,1970000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,3,0,58.64,60.03,-0.63,1.5959999999999999,1.4880000000000002,1,0,23,3,0,6,59.83,4,4,7,3,-0.25389999999999996,27,4,2.0,621.0,178.5,240.12,239.32,2484,23972.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,2,0,49.57,53.0,-1.317,-0.6409999999999999,0.052000000000000005,0,3,7,2,2,6,48.91,5,9,2,3,-1.7919999999999998,19,5,2.0,133.0,151.48,159.0,244.54999999999998,665,10492.3,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,3,0,44.15,38.46,-0.183,-0.387,-0.13699999999999998,0,0,3,3,0,8,38.86,6,1,4,4,-0.26899999999999996,22,4,1.0,66.0,121.47,153.84,233.16,264,9675.0,0.0,1700580.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,1,55.2,57.93,0.095,0.331,0.24100000000000002,0,4,18,2,0,7,59.67,6,5,0,2,-0.258,32,4,1.0,576.0,172.8,231.72,358.02,2304,29487.0,2.8,432000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,2,0,52.51,47.83,-0.63,-0.9329999999999999,-0.6,3,1,9,1,1,6,49.23,5,1,5,1,0.10900000000000003,28,5,2.0,255.0,149.57,143.49,246.14999999999998,1223,16689.321000000004,0.0,3589680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2,0,52.65,54.61,-0.63,0.585,0.349,1,0,8,3,0,6,51.41,5,0,4,4,-0.51,27,4,2.0,216.0,158.67,163.82999999999998,257.04999999999995,864,14730.799999999997,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,2,1,56.94,54.48,-0.867,0.18899999999999997,1.001,2,1,2,3,0,6,56.46,6,5,2,1,0.25,28,4,1.0,56.0,167.88,163.44,338.76,224,15066.0,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,3,0,66.26,59.29,0.5710000000000001,0.14300000000000002,0.812,4,0,3,5,1,6,63.22,6,3,0,3,0.003,26,5,1.0,78.0,188.77,237.16,379.32,390,17877.920000000002,0.6,7928340.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
