,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,hs_gpa,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
249,3.0,0.0,-1.0,56.71,59.66,1.7719999999999998,1.5959999999999999,1.9509999999999998,2.0,4.0,14.0,0.0,0.0,7.0,9.0,60.29,6.0,4.0,0.0,0.0,1.811,31.0,6.0,1.0,20.0,176.66,238.64,361.74,80.0,12007.6,0.0,0.0,1.0
3811,3.0,,-1.0,45.4,45.36,-1.5819999999999999,-0.23,-0.41100000000000003,2.0,1.0,5.0,1.0,9.0,4.0,1.0,45.62,4.0,6.0,4.0,1.0,,,,2.0,,136.38,181.44,182.48,,,,5455200.0,1.0
6770,,1.0,-1.0,47.47,52.14,,,-0.898,0.0,2.0,25.0,6.0,3.0,6.0,9.0,42.1,5.0,6.0,6.0,5.0,-0.537,25.0,4.0,3.0,29.0,141.71,,210.5,174.0,,5.463,283420.0,1.0
8814,2.0,1.0,-1.0,32.64,26.88,,,-1.847,5.0,1.0,3.0,8.0,0.0,3.0,7.0,36.56,4.0,0.0,,3.0,1.008,21.0,3.0,2.0,6.0,96.08,80.64,146.24,0.0,1361.28,9.008,864720.0,0.0
4349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,3.0,1.0,9.0,62.07,55.34,0.5710000000000001,,1.7619999999999998,1.0,2.0,5.0,3.0,3.0,8.0,10.0,63.02,6.0,4.0,4.0,2.0,1.5330000000000001,28.0,6.0,1.0,11.0,180.43,221.36,378.12,44.0,6594.280000000001,4.533,0.0,1.0
16055,2.0,0.0,9.0,59.84,50.54,-0.669,-1.7480000000000002,1.001,2.0,0.0,8.0,6.0,1.0,6.0,9.0,63.5,6.0,2.0,1.0,2.0,-0.259,23.0,5.0,1.0,13.0,173.88,151.62,381.0,26.0,6924.06,0.0,4868640.0,1.0
6448,3.0,0.0,10.0,55.66,58.43,,,,2.0,1.0,13.0,6.0,1.0,8.0,10.0,58.18,6.0,1.0,1.0,5.0,,26.0,5.0,1.0,18.0,172.27,233.72,349.08,18.0,10490.4,,1722700.0,0.0
11317,2.0,,15.0,32.92,25.65,-1.345,-0.37200000000000005,-1.579,0.0,0.0,10.0,5.0,6.0,6.0,-1.0,30.6,2.0,0.0,7.0,3.0,,21.0,2.0,2.0,12.0,89.17,76.94999999999999,61.2,0.0,1657.7999999999997,,1515890.0,0.0
16106,,,,66.57,63.79,,,,,,,,,7.0,16.0,65.97,6.0,6.0,2.0,1.0,,29.0,5.0,1.0,,196.32999999999998,,395.82,,,,14724749.999999998,1.0
7547,3.0,,-1.0,56.03,55.47,-0.63,-0.68,1.9509999999999998,1.0,1.0,6.0,6.0,0.0,6.0,-1.0,50.65,6.0,3.0,6.0,4.0,-0.755,23.0,6.0,1.0,12.0,162.15,221.88,303.9,36.0,6309.36,,8107500.0,0.0
6844,3.0,0.0,9.0,53.7,45.36,-1.08,-0.556,0.515,1.0,0.0,15.0,2.0,0.0,7.0,13.0,50.46,6.0,3.0,0.0,1.0,,23.0,4.0,2.0,19.0,149.52,181.44,302.76,57.0,9199.8,,4485600.0,0.0
6481,2.0,0.0,-1.0,45.98,42.9,-0.841,-1.122,-1.274,0.0,0.0,1.0,1.0,0.0,4.0,9.0,39.57,4.0,0.0,6.0,0.0,-0.509,23.0,3.0,2.0,4.0,128.45,128.7,158.28,0.0,1147.92,0.0,1541399.9999999998,1.0
6895,3.0,0.0,10.0,57.91,55.71,1.296,-0.664,0.052000000000000005,4.0,2.0,10.0,1.0,7.0,6.0,-1.0,55.36,5.0,3.0,8.0,2.0,0.25,24.0,5.0,1.0,15.0,168.98000000000002,222.84,276.8,45.0,7494.599999999999,0.0,0.0,0.0
6452,3.0,0.0,-1.0,57.11,51.03,-0.63,-0.9329999999999999,0.812,1.0,1.0,4.0,1.0,0.0,8.0,-1.0,60.11,6.0,2.0,0.0,3.0,-0.259,26.0,6.0,1.0,10.0,168.25,204.12,360.65999999999997,20.0,5647.799999999999,0.0,3533250.0,1.0
7835,2.0,1.0,10.0,76.82,68.65,-0.142,,1.9509999999999998,0.0,3.0,8.0,1.0,0.0,8.0,10.0,74.25,6.0,3.0,0.0,2.0,,25.0,6.0,1.0,14.0,219.72,205.95000000000002,445.5,42.0,9120.300000000001,,659160.0,0.0
14411,3.0,,-1.0,57.29,56.08,,0.005,-0.14300000000000002,1.0,1.0,17.0,2.0,8.0,7.0,-1.0,54.06,6.0,3.0,6.0,1.0,-1.033,30.0,4.0,1.0,21.0,167.43,224.32,324.36,63.0,11522.28,,8036640.0,1.0
7148,2.0,1.0,-1.0,72.86,58.55,-1.1059999999999999,0.07,,0.0,1.0,12.0,8.0,,9.0,9.0,56.11,5.0,0.0,0.0,8.0,-2.039,21.0,4.0,2.0,16.0,187.51999999999998,175.64999999999998,280.55,0.0,7299.2,5.961,2437759.9999999995,1.0
2531,3.0,0.0,10.0,45.2,42.04,0.5710000000000001,0.331,0.7040000000000001,0.0,2.0,4.0,2.0,0.0,4.0,9.0,36.09,5.0,4.0,3.0,2.0,0.528,24.0,5.0,2.0,9.0,123.33000000000001,168.16,180.45000000000002,36.0,3137.4900000000002,0.0,0.0,1.0
2859,1.0,0.0,10.0,59.79,67.54,1.7719999999999998,1.5959999999999999,,3.0,2.0,20.0,4.0,0.0,8.0,-1.0,60.99,6.0,5.0,0.0,3.0,1.024,30.0,6.0,1.0,26.0,188.32000000000002,135.08,365.94,130.0,13026.52,0.0,2448160.0000000005,0.0
2021,,,,69.0,63.51,,,,,,,,,8.0,10.0,66.16,6.0,1.0,2.0,3.0,,,,1.0,,198.67,,396.96,,,,19867.0,1.0
12867,3.0,0.0,10.0,69.4,70.5,1.296,0.331,1.001,2.0,4.0,13.0,1.0,0.0,8.0,10.0,67.91,6.0,5.0,4.0,2.0,1.0190000000000001,30.0,6.0,1.0,19.0,207.81,282.0,407.46,95.0,13099.740000000002,0.0,5403060.0,1.0
9856,,1.0,,41.31,40.56,,,0.052000000000000005,1.0,0.0,3.0,5.0,,7.0,9.0,39.42,4.0,2.0,6.0,6.0,-0.7879999999999999,26.0,3.0,2.0,6.0,121.29,,157.68,12.0,,4.212,3759990.0,1.0
1727,3.0,1.0,9.0,48.99,47.58,0.5710000000000001,-1.486,,4.0,0.0,10.0,5.0,0.0,7.0,14.0,54.31,6.0,0.0,4.0,2.0,0.773,21.0,5.0,1.0,15.0,150.88,190.32,325.86,0.0,7742.700000000001,5.773,2112320.0,0.0
4513,3.0,0.0,-1.0,74.29,67.42,,,1.001,2.0,1.0,16.0,6.0,0.0,7.0,-1.0,69.97,6.0,4.0,0.0,3.0,-2.039,27.0,6.0,1.0,22.0,211.68,269.68,419.82,88.0,15169.0,0.0,0.0,1.0
